source,run_num,dl,output,log_name,num_cases
model_concatenated_gru_38-0.41.h5,9,0.592563897,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,0,0.536185318,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,1,0.576345061,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,2,0.523014909,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,3,0.517900388,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,4,0.540489087,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,5,0.539796124,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,6,0.532355797,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,7,0.542745177,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,8,0.522784806,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,9,0.531622523,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,0,0.607348054,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,1,0.575723194,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,2,0.582756302,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,3,0.579700909,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,4,0.582366458,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,5,0.590594738,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,6,0.59604679,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,7,0.59061999,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,8,0.579316331,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,9,0.599863474,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,0,0.586394632,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,1,0.564072947,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,2,0.58816953,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,3,0.587142196,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,4,0.55908642,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,5,0.57312489,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,6,0.590875765,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,7,0.556765626,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,8,0.588067909,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,9,0.566255629,outputs/20200805_185852128833,PurchasingExample,173
BPI_Challenge_2012_W_Two_TS_training.bpmn,0,0.57870417,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,1,0.586670541,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,2,0.580485994,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,3,0.581814053,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,4,0.578440866,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,5,0.583543826,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,6,0.579226263,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,7,0.583379053,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,8,0.579813626,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,9,0.582199416,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,0,0.54719067,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,1,0.543113347,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,2,0.554856358,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,3,0.553424602,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,4,0.546915703,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,5,0.54678899,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,6,0.550617129,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,7,0.559677162,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,8,0.542013725,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,9,0.535459339,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,0,0.455783644,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,1,0.442059423,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,2,0.448010142,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,3,0.450071475,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,4,0.448007975,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,5,0.452696122,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,6,0.452795996,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,7,0.447987734,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,8,0.448690915,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,9,0.451032207,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
