source,run_num,els,output,log_name,num_cases
model_specialized_144-1.47.h5,8,0.574868286,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,9,0.572224347,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,0,0.572283716,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,1,0.568274728,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,2,0.574818895,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,3,0.578340705,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,4,0.557095932,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,5,0.564081621,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,6,0.549097949,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,7,0.579164851,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,8,0.574290363,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_105-1.48.h5,9,0.560728509,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,0,0.574066534,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,1,0.588680731,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,2,0.577198859,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,3,0.591304022,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,4,0.57408116,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,5,0.587741359,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_gru_78-1.32.h5,6,0.582572751,outputs/20200805_185852129224,ConsultaDataMining201618,252
