source,run_num,mae_log,output,log_name,num_cases
BPI_Challenge_2012_W_Two_TS_training.bpmn,7,745472.3554,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,8,745643.8432,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,9,745627.929,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,0,333860.5093,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,1,328807.2729,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,2,330768.4724,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,3,343273.5334,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,4,332497.7458,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,5,347855.4849,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,6,323991.1782,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,7,313062.6675,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,8,335628.7299,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_concatenated_36-1.56.h5,9,346344.5175,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,0,302346.0289,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,1,337049.9206,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,2,336068.843,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,3,321203.0901,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,4,319239.4815,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,5,312353.787,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,6,303257.9226,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,7,325188.1578,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,8,319945.6466,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_06-1.88.h5,9,328971.5072,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,0,723560.0769,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,1,723169.2238,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,2,724231.3788,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,3,725337.9567,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,4,723326.1557,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,5,723121.6069,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,6,723302.0427,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
model_shared_cat_gru_11-1.78.h5,7,722126.6916,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
